0,1,2,3,4,5,6,7,8,9,10
compagni,Activité,Adresse,C.P.,Ville,phone,Mobile,Email,Commentary,Rappel,RDV
gtgt,tgtg,tgtg,tggt,ttg,tgtg,ttg,ttg,,,
"Ré Ahlem","Architectes (profession)","83 chem Dombes",39000,"LONS LE SAUNIER",0384489470,,,,,
"Ladoy Georges","Architectes (profession)","1 pl Perraud",39000,"LONS LE SAUNIER",0384243463,,,,,
"Beuret Daniel","Architectes (profession)","2 r Rochettes",39000,"LONS LE SAUNIER",0384244324,,,,,
"Bois Frédéric","Architectes (profession)","10 bd Gambetta",39000,"LONS LE SAUNIER",,,,,,
"Balduini Giulio","Architectes (profession)","8 r Edmond Chapuis",39000,"LONS LE SAUNIER",0384240347,,,,,
"Archi Concept","Architectes (profession)","6 r Tatre",25960,DELUZ,,0686403907,,,,
"Bourgeois Michèle","Architectes (profession)","6 r Plantes",25870,"CUSSEY SUR L'OGNON",0381576131,,,,,
"Ferrand Thierry","Architectes (profession)","14 av Bel Air",25870,"CHATILLON LE DUC",0381589953,,,,,
"Schneller Architecture","Architectes (profession)","16 r Viette",25700,VALENTIGNEY,0381370637,,,,,
"Lhommée Jean-Michel","Architectes (profession)","10 r Valière",25660,GENNES,0966858916,,,,,
"Cheval Gérard","Architectes (profession)","16 chem sur crete",25660,FONTAIN,,"No Prospect",,,,
"Vuillemin Magali","Architectes (profession)","23 r Grands Vergers",25620,TARCENAY,,0676085068,,,,
"Gigon Pierre","Architectes (profession)","2 r Jura",25600,"VIEUX CHARMONT",,,,,,
"Guillaume Gérald","Architectes (profession)","10 Le Bas de Grand Combe",25570,"GRAND COMBE CHATELEU",0381677584,,,,,
"Guillaume Gérald","Architectes (profession)","2 lieu-dit Pré Rondot",25570,"GRAND COMBE CHATELEU",0967438428,,,,,
"Bretillot Régis","Architectes (profession)","7 Le Beugnon",25570,"GRAND COMBE CHATELEU",0381688772,,,,,
"Monsinjon Philippe","Architectes (profession)","7 r la Fontaine",25550,"SAINT JULIEN LES MONTBELIARD",0381931600,,,,,
"Architecture Prillard","Architectes (profession)","14 r Victor Hugo",25500,MORTEAU,,,,,,
"Greusard Florent","Architectes (profession)","6 r Communaux",25500,MORTEAU,,,,,,
"Architecture B&K","Architectes (profession)","3 r Louis Dormoy",25490,"FESCHES LE CHATEL",0381321925,,,,,
"Anaïs Isabey Architecte SARL","Architectes (profession)","1 r Cryots",25480,PIREY,,0631458872,,,,
"KGA Architecture","Architectes (profession)","1 r Combe du Puits",25480,"ECOLE VALENTIN",,0685708325,,,,
"Breuillot Jean-Pierre","Architectes (profession)","8 r Combe Tollin",25440,"CHENECEY BUILLON",0381603328,,,,,
"Notarnicola Donato","Architectes (profession)","2 r Vignes",25420,BART,0381914987,,,,,
"Architecteurs Dw","Architectes (profession)","2 Grande Rue",25400,EXINCOURT,0381947172,,,,,
"Beley Gilbert","Architectes (profession)","Le Mercure 21 av Aristide Briand",25400,AUDINCOURT,0381355442,,,,,
"Kihn Jean-Marie","Architectes (profession)","17 Bis r Courcelles",25400,ARBOUANS,0381985450,,,,,
"Huot Sabrina","Architectes (profession)","8 r Noisetiers",25390,FUANS,,,,,,
"A3 Concept","Architectes (profession)","6 r Marnes",25360,NANCRAY,,0675431468,,,,
"Bossy Olivier","Architectes (profession)","28 Grande Rue",25360,BOUCLANS,0381601083,,,,,
"Duffing Stéphanie","Architectes (profession)","2 A r Porte des Noyes",25340,CLERVAL,0381964597,,,,,
"Archi Tech Ferrini Arnoult Rognon Villa (SNC)","Architectes (profession)","15 r Arthur Bourdin",25300,PONTARLIER,0381467753,,,,,
"De Bagatelle Architecture","Architectes (profession)","12 r Besançon",25300,PONTARLIER,0381387496,,,,,
"Paillard Archi & Co","Architectes (profession)","3 r Edgar Faure",25300,PONTARLIER,,,,,,
"Verly Jean","Architectes (profession)","4 Bis r Salins",25300,PONTARLIER,0962400361,,,,,
"Jonathan Sanchez Architecte","Architectes (profession)","22 r St Laurent",25290,ORNANS,0962020042,,,,,
"ARTEO CONCEPTION","Architectes (profession)","17 rte Ornans",25270,SEPTFONTAINES,0381383155,,,,,
"Solmon François","Architectes (profession)","16 r Charles Lalance",25200,MONTBELIARD,0381312249,,,,,
"Vesin Mattern Laure","Architectes (profession)","95 fbg Besançon",25200,MONTBELIARD,,,,,,
"Girolimetto Architectes","Architectes (profession)","63 fbg Besançon",25200,MONTBELIARD,0381912372,,,,,
"Dufour Justine Architecte","Architectes (profession)","5 r Belfort",25200,MONTBELIARD,0381913056,,,,,
"Regnier Philippe","Architectes (profession)","1 Bis r Champvallon",25200,BETHONCOURT,0381985735,,,,,
"Koenig Claude","Architectes (profession)","44 Grande Rue",25015,"BESANCON CEDEX",,"No Prospect",,,,
ARCHI.TECH,"Architectes (profession)","3 chem Ecoles Tilleroyes",25000,BESANCON,0381479745,,,,,
"Lhomme Véronique","Architectes (profession)","9 r Anvers",25000,BESANCON,0381830048,,,,,
"Ballet Franck Architecte - Expert","Architectes (profession)","56 A chem des Journaux",25000,BESANCON,0381513970,0685388526,,,,
"Donzé Philippe","Architectes (profession)","5 r Albert Thomas",25000,BESANCON,0381821856,,,,,
"Klein Jochen","Architectes (profession)","6 r Prévoyance",25000,BESANCON,0381886346,,,,,
"ART ET ASSOCIES (SARL)","Architectes (profession)","68 Grande Rue",25000,BESANCON,,,,,,
